generation,best_score,avg_score,worst_score,mutation_rate
1,2.750000,-3.917200,-9.300000,0.050000
2,4.400000,0.422333,-4.800000,0.050000
3,4.400000,3.730714,0.900000,0.050000
4,4.400000,4.315108,0.300000,0.050000
5,4.400000,4.357971,1.900000,0.050000
6,4.600000,4.384783,3.000000,0.025000
7,4.700000,4.407971,3.000000,0.025000
8,4.700000,4.585507,2.600000,0.025000
9,4.700000,4.638406,1.400000,0.025000
10,4.700000,4.667391,2.000000,0.025000
11,4.700000,4.677536,3.000000,0.012500
12,4.700000,4.655072,1.300000,0.012500
13,4.700000,4.700000,4.700000,0.012500
14,4.700000,4.686957,2.900000,0.012500
15,4.700000,4.675362,2.700000,0.012500
16,4.700000,4.700000,4.700000,0.006250
17,4.700000,4.700000,4.700000,0.006250
18,5.000000,4.702174,4.700000,0.006250
19,5.000000,4.732609,4.700000,0.006250
20,5.000000,5.000000,5.000000,0.006250
21,5.000000,5.000000,5.000000,0.003125
22,5.000000,5.000000,5.000000,0.003125
23,5.000000,5.000000,5.000000,0.003125
24,5.000000,5.000000,5.000000,0.003125
25,5.000000,5.000000,5.000000,0.003125
26,5.000000,5.000000,5.000000,0.001563
27,5.000000,5.000000,5.000000,0.001563
28,5.000000,5.000000,5.000000,0.001563
29,5.000000,5.000000,5.000000,0.001563
30,5.000000,5.000000,5.000000,0.001563
31,5.000000,5.000000,5.000000,0.001000
32,5.000000,5.000000,5.000000,0.001000
33,5.000000,5.000000,5.000000,0.001000
34,5.000000,5.000000,5.000000,0.001000
35,5.000000,5.000000,5.000000,0.001000
36,5.000000,5.000000,5.000000,0.001000
37,5.000000,5.000000,5.000000,0.001000
38,5.000000,5.000000,5.000000,0.001000
39,5.000000,5.000000,5.000000,0.001000
40,5.000000,5.000000,5.000000,0.001000
41,5.000000,5.000000,5.000000,0.001000
42,5.000000,5.000000,5.000000,0.001000
43,5.000000,5.000000,5.000000,0.001000
44,5.000000,5.000000,5.000000,0.001000
45,5.000000,5.000000,5.000000,0.001000
46,5.000000,5.000000,5.000000,0.001000
47,5.000000,5.000000,5.000000,0.001000
48,5.000000,5.000000,5.000000,0.001000
49,5.000000,4.977536,1.900000,0.001000
50,5.100000,5.000725,5.000000,0.001000
51,5.100000,5.007246,5.000000,0.001000
52,5.100000,5.082609,5.000000,0.001000
53,5.100000,5.100000,5.100000,0.001000
54,5.100000,5.100000,5.100000,0.001000
55,5.100000,5.089855,3.700000,0.001000
56,5.100000,5.100000,5.100000,0.001000
57,5.100000,5.100000,5.100000,0.001000
58,5.100000,5.100000,5.100000,0.001000
59,5.100000,5.100000,5.100000,0.001000
60,5.100000,5.100000,5.100000,0.001000
61,5.100000,5.100000,5.100000,0.001000
62,5.100000,5.100000,5.100000,0.001000
63,5.100000,5.100000,5.100000,0.001000
64,5.100000,5.100000,5.100000,0.001000
65,5.100000,5.100000,5.100000,0.001000
66,5.100000,5.100000,5.100000,0.001000
67,5.100000,5.089855,3.700000,0.001000
68,5.100000,5.100000,5.100000,0.001000
69,5.100000,5.100000,5.100000,0.001000
70,5.100000,5.100000,5.100000,0.001000
71,5.100000,5.100000,5.100000,0.001000
72,5.100000,5.100000,5.100000,0.001000
73,5.100000,5.100000,5.100000,0.001000
74,5.100000,5.090580,3.800000,0.001000
75,5.500000,5.102899,5.100000,0.001000
76,5.500000,5.149275,5.100000,0.001000
77,5.500000,5.500000,5.500000,0.001000
78,5.500000,5.500000,5.500000,0.001000
79,5.500000,5.500000,5.500000,0.001000
80,5.500000,5.500000,5.500000,0.001000
81,5.500000,5.500000,5.500000,0.001000
82,5.500000,5.500000,5.500000,0.001000
83,5.500000,5.500000,5.500000,0.001000
84,5.500000,5.500000,5.500000,0.001000
85,5.500000,5.500000,5.500000,0.001000
86,5.500000,5.500000,5.500000,0.001000
87,5.500000,5.500000,5.500000,0.001000
88,5.500000,5.500000,5.500000,0.001000
89,5.500000,5.500000,5.500000,0.001000
90,5.500000,5.482609,3.100000,0.001000
91,5.500000,5.500000,5.500000,0.001000
92,5.500000,5.500000,5.500000,0.001000
93,5.500000,5.500000,5.500000,0.001000
94,5.500000,5.500000,5.500000,0.001000
95,5.500000,5.500000,5.500000,0.001000
96,5.500000,5.500000,5.500000,0.001000
97,5.500000,5.500000,5.500000,0.001000
98,5.500000,5.500000,5.500000,0.001000
99,5.500000,5.500000,5.500000,0.001000
100,5.700000,5.501449,5.500000,0.001000
101,5.700000,5.520290,5.500000,0.001000
102,5.700000,5.700000,5.700000,0.001000
103,5.700000,5.700000,5.700000,0.001000
