generation,best_score,avg_score,worst_score,mutation_rate
1,2.500000,-3.687600,-9.600000,0.050000
2,4.250000,0.455000,-3.200000,0.050000
3,4.450000,3.440357,-0.900000,0.050000
4,4.450000,4.213669,-0.550000,0.050000
5,5.450000,4.420290,1.450000,0.050000
6,5.450000,4.600725,2.350000,0.050000
7,5.450000,5.363043,2.050000,0.050000
8,5.850000,5.315217,1.450000,0.050000
9,6.750000,5.468116,3.250000,0.050000
10,6.750000,5.922464,1.750000,0.050000
11,6.750000,6.652174,3.350000,0.050000
12,6.750000,6.652174,3.350000,0.050000
13,6.750000,6.697826,3.750000,0.050000
14,6.750000,6.654348,2.850000,0.050000
15,6.750000,6.662319,3.550000,0.050000
16,6.750000,6.707246,4.650000,0.050000
17,6.750000,6.694203,3.350000,0.050000
18,6.750000,6.688406,3.550000,0.050000
19,6.750000,6.649275,2.750000,0.050000
20,6.750000,6.676087,3.350000,0.050000
21,6.750000,6.669565,2.250000,0.050000
22,6.950000,6.652899,2.650000,0.050000
23,6.950000,6.707971,3.350000,0.050000
24,6.950000,6.868841,5.150000,0.050000
25,7.150000,6.938406,5.150000,0.050000
26,7.150000,6.905797,3.750000,0.050000
27,7.150000,7.092754,5.050000,0.050000
28,7.150000,7.104348,5.150000,0.050000
29,7.150000,7.018116,3.150000,0.050000
30,7.150000,7.034058,3.550000,0.050000
31,7.150000,7.087681,4.950000,0.050000
32,7.150000,7.086232,3.650000,0.050000
33,7.150000,7.038406,3.150000,0.050000
34,7.150000,7.089130,3.750000,0.050000
35,7.150000,7.113768,3.950000,0.050000
36,7.150000,7.055797,3.450000,0.050000
37,7.150000,7.084058,4.250000,0.050000
38,7.150000,7.081159,4.350000,0.050000
39,7.150000,7.077536,4.450000,0.050000
40,7.150000,7.028261,2.750000,0.050000
41,7.150000,7.087681,3.750000,0.050000
42,7.150000,7.078986,3.550000,0.050000
43,8.350000,6.983333,3.450000,0.050000
44,8.350000,7.286957,4.050000,0.050000
45,8.350000,8.221014,3.950000,0.050000
46,8.350000,8.225362,3.750000,0.050000
47,8.350000,8.313768,5.350000,0.050000
48,8.350000,8.211594,3.150000,0.050000
49,8.350000,8.286232,3.750000,0.050000
50,8.350000,8.286957,4.650000,0.050000
51,8.350000,8.261594,3.750000,0.050000
52,8.350000,8.246377,5.750000,0.050000
53,8.350000,8.248551,2.750000,0.050000
54,8.350000,8.291304,3.450000,0.050000
55,8.350000,8.283333,5.150000,0.050000
56,8.350000,8.233333,4.850000,0.050000
57,8.350000,8.310870,5.450000,0.050000
58,8.350000,8.257246,2.550000,0.050000
59,8.350000,8.241304,4.150000,0.050000
60,8.350000,8.323913,7.050000,0.050000
61,8.350000,8.231884,3.350000,0.050000
62,8.350000,8.257246,5.750000,0.050000
63,8.350000,8.263043,4.850000,0.050000
64,8.350000,8.286957,5.050000,0.050000
65,8.350000,8.264493,4.950000,0.050000
66,8.350000,8.278261,4.250000,0.050000
67,8.350000,8.280435,4.750000,0.050000
68,8.350000,8.297101,4.750000,0.050000
69,8.350000,8.297826,3.750000,0.050000
70,8.350000,8.281159,5.850000,0.050000
71,8.350000,8.309420,5.550000,0.050000
72,8.350000,8.251449,4.250000,0.050000
73,8.350000,8.284783,3.850000,0.050000
74,8.350000,8.250725,4.550000,0.050000
75,8.350000,8.245652,3.850000,0.050000
76,8.350000,8.262319,5.250000,0.050000
77,8.350000,8.310870,5.050000,0.050000
78,8.350000,8.321739,5.250000,0.050000
79,8.350000,8.300000,5.850000,0.050000
80,8.350000,8.244928,3.850000,0.050000
81,8.350000,8.247101,3.150000,0.050000
82,8.350000,8.158696,3.350000,0.050000
83,8.350000,8.235507,3.850000,0.050000
84,8.350000,8.239130,3.850000,0.050000
85,8.350000,8.200000,3.050000,0.050000
86,8.350000,8.251449,3.150000,0.050000
87,8.350000,8.196377,4.350000,0.050000
88,8.350000,8.342754,7.350000,0.050000
89,8.350000,8.305072,3.450000,0.050000
90,8.350000,8.243478,3.850000,0.050000
91,8.350000,8.258696,3.650000,0.050000
92,8.350000,8.285507,5.850000,0.050000
93,8.350000,8.284783,5.150000,0.050000
94,8.350000,8.248551,4.550000,0.050000
95,8.350000,8.261594,4.250000,0.050000
96,8.350000,8.155072,3.150000,0.050000
97,8.350000,8.286232,4.050000,0.050000
98,8.350000,8.273188,3.150000,0.050000
99,8.350000,8.269565,4.150000,0.050000
100,8.350000,8.242029,3.050000,0.050000
