generation,best_score,avg_score,worst_score,mutation_rate
1,2.000000,-3.886200,-10.300000,0.050000
2,6.100000,0.121333,-3.950000,0.050000
3,6.200000,5.275000,0.500000,0.050000
4,6.200000,6.024460,2.600000,0.050000
5,6.700000,6.038406,2.000000,0.050000
6,6.700000,6.100725,2.100000,0.050000
7,6.700000,6.565217,3.900000,0.050000
8,6.700000,6.644203,3.700000,0.050000
9,6.700000,6.599275,3.700000,0.050000
10,7.300000,6.595652,3.300000,0.050000
11,7.300000,6.730435,3.600000,0.050000
12,7.900000,7.225362,3.700000,0.050000
13,7.900000,7.532609,4.600000,0.050000
14,7.900000,7.879710,5.900000,0.050000
15,7.900000,7.798551,3.500000,0.050000
16,7.900000,7.753623,3.200000,0.050000
17,8.400000,7.811594,4.900000,0.050000
18,8.400000,7.843478,3.500000,0.050000
19,8.400000,8.239130,3.100000,0.050000
20,8.400000,8.279710,4.300000,0.050000
21,8.400000,8.238406,2.200000,0.050000
22,8.400000,8.355072,5.300000,0.050000
23,8.400000,8.265217,4.900000,0.050000
24,8.400000,8.308696,3.500000,0.050000
25,8.400000,8.354348,6.100000,0.050000
26,8.400000,8.301449,5.100000,0.050000
27,8.400000,8.288406,5.400000,0.050000
28,8.400000,8.241304,4.500000,0.050000
29,8.400000,8.380435,5.700000,0.050000
30,8.400000,8.240580,4.600000,0.050000
31,8.400000,8.310145,3.300000,0.050000
32,8.400000,8.326087,4.400000,0.050000
33,8.400000,8.252899,3.500000,0.050000
34,8.400000,8.266667,3.900000,0.050000
35,8.400000,8.188406,5.200000,0.050000
36,8.400000,8.278261,4.200000,0.050000
37,8.400000,8.250725,2.800000,0.050000
38,8.400000,8.284058,5.200000,0.050000
39,8.400000,8.173188,2.800000,0.050000
40,8.400000,8.298551,5.300000,0.050000
41,8.400000,8.321739,3.900000,0.050000
42,8.400000,8.277536,3.500000,0.050000
43,8.400000,8.334783,3.800000,0.050000
44,8.400000,8.323913,4.800000,0.050000
45,8.400000,8.268116,2.600000,0.050000
46,8.400000,8.274638,4.000000,0.050000
47,8.400000,8.383333,6.100000,0.050000
48,8.400000,8.331159,5.200000,0.050000
49,8.400000,8.333333,3.600000,0.050000
50,8.400000,8.326087,4.500000,0.050000
51,8.400000,8.314493,4.400000,0.050000
52,8.400000,8.337681,5.400000,0.050000
53,8.400000,8.286957,4.200000,0.050000
54,8.400000,8.248551,3.600000,0.050000
55,8.400000,8.208696,3.800000,0.050000
56,8.400000,8.172464,2.900000,0.050000
57,8.400000,8.286957,4.900000,0.050000
58,8.400000,8.131159,3.200000,0.050000
59,8.400000,8.278261,3.500000,0.050000
60,8.400000,8.331159,5.200000,0.050000
61,8.400000,8.350725,4.300000,0.050000
62,8.400000,8.223188,3.000000,0.050000
63,8.400000,8.169565,3.700000,0.050000
64,8.400000,8.347826,5.100000,0.050000
65,8.400000,8.326087,3.800000,0.050000
66,8.400000,8.332609,5.600000,0.050000
67,8.400000,8.236957,4.300000,0.050000
68,8.400000,8.302899,5.700000,0.050000
69,8.400000,8.266667,4.500000,0.050000
70,8.400000,8.292029,4.800000,0.050000
71,8.400000,8.349275,5.600000,0.050000
72,8.400000,8.296377,4.500000,0.050000
73,8.400000,8.284783,4.900000,0.050000
74,8.400000,8.305072,4.800000,0.050000
75,8.400000,8.225362,4.900000,0.050000
76,8.400000,8.278261,3.700000,0.050000
77,8.400000,8.374638,4.900000,0.050000
78,8.400000,8.334058,4.600000,0.050000
79,8.800000,8.306522,2.400000,0.050000
80,8.800000,8.312319,4.800000,0.050000
81,8.800000,8.711594,5.000000,0.050000
82,8.800000,8.684058,5.000000,0.050000
83,8.800000,8.643478,3.500000,0.050000
84,8.800000,8.759420,6.000000,0.050000
85,8.800000,8.740580,4.800000,0.050000
86,8.800000,8.720290,6.000000,0.050000
87,8.800000,8.660870,5.100000,0.050000
88,8.800000,8.655072,2.300000,0.050000
89,8.800000,8.663043,5.200000,0.050000
90,8.800000,8.731159,3.900000,0.050000
91,8.900000,8.768841,6.200000,0.050000
92,8.900000,8.671014,4.900000,0.050000
93,8.900000,8.790580,5.400000,0.050000
94,8.900000,8.823913,4.900000,0.050000
95,8.900000,8.683333,3.800000,0.050000
96,8.900000,8.815942,6.200000,0.050000
97,8.900000,8.864493,7.100000,0.050000
98,8.900000,8.770290,2.500000,0.050000
99,8.900000,8.706522,3.600000,0.050000
100,8.900000,8.753623,3.900000,0.050000
101,9.200000,8.810870,2.700000,0.050000
102,9.500000,8.742754,4.600000,0.050000
